recipe_tag	coefficient
bias	0.33522316187180634
alfredo	0.023080238545089917
almond	0.03797560725262758
american	0.002849793798193562
appetizer	0.07338306641153453
appetizers	-0.008683862282516167
apple	0.0011734536918359944
asiancuisine	0.014377630069375464
asparagus	0.035763670653534724
avocado	0.0266657858769282
bacon	0.41027382412729685
baked	0.0991377907462614
bakeddishes	-0.07759605590130406
bakery	0.025731015745045275
baking	-0.03638393945900371
beans	-0.019788672399944446
beef	0.010598207942438983
bellpeppers	0.009667958858601453
berries	0.06699455205218043
blackbeans	0.009667958858601453
blackvinegar	-3.739455183277758e-05
blueberry	-0.053951400068749135
boiledeggs	-0.01958446328985986
bokchoy	-0.01958446328985986
braided	0.007765414538000302
bread	0.08402412668555521
breaded	-0.01385723423808648
breakfast	0.022360144011781956
breakfastpastry	-0.015088507967883911
brioche	0.04462100694864325
broiling	0.029943100142368704
brownies	0.008613264307559064
brownsugar	0.0008145244891407484
brunch	-0.011790026482979735
burger	0.022073682115216795
burritos	-0.09898414386934803
buttery	0.07086801392248426
cake	0.042124624988838205
carrots	-0.01958446328985986
casserole	0.008508281389208356
celebration	-0.005188728461172421
cheese	0.07025237923202256
cheesy	0.05297038506874448
cherry	0.07037853899324303
chicken	0.032361717945815646
chickpeas	0.022073682115216795
chilioil	0.00895477411636361
chilipowder	0.009667958858601453
chinese	0.03178736036635857
chinesecookingwine	0.008992168668196387
chinesecuisine	0.008629658548729068
chocolate	0.0014251590389338861
chocolatechip	0.023049784948798977
chocolatecroissant	-0.015088507967883911
christmas	0.01477488720327956
cilantro	-0.003379808061504591
cinnamon	0.0006601114166131699
citrus	-0.012909029223616059
classic	-0.0995408564295494
cloves	-0.004589962640710083
cobbler	0.0658399908137467
cocoapowder	0.02999649245251543
coffee	-0.014413250361645908
cold	0.03178736036635857
coldnoodles	0.024756658706160277
comfortfood	-0.03374159561237368
condiment	0.028652725183174438
cookies	0.09453658602307323
corn	-0.005188728461172421
cranberry	0.013533823596454473
creamcheese	0.01801062136195463
creamy	0.05788296469310491
crisp	0.0005596880146487432
crispy	0.01986432070812234
croissant	-0.014413250361645908
croissants	-0.1416345187932492
crumble	-0.01667204006564877
crust	-0.004589962640710083
cucumber	0.024756658706160277
cumin	0.009667958858601453
cupcakes	-0.062367460849557785
custard	-0.057017720394594976
custardy	0.022447731368406783
customizable	0.04905179654061341
danish	0.01801062136195463
dashibroth	-0.000983121851369486
dates	0.04665181653602745
decadent	0.03534965391239643
dessert	0.015567666790341425
dinner	0.03025913594626468
dip	-0.04118846942316896
donuts	0.04149119442153322
easterneuropean	0.007765414538000302
easy	-0.055671902953520425
easydinner	0.01858182475217301
egg	0.04047262268927306
eggs	0.0190515108459072
eggwhites	-0.0016097156920323044
fajitaseasoning	-0.031991264402216
fall	0.0037078282365802413
familyfriendly	0.027090106141381368
fastfood	-0.01385723423808648
fetacheese	0.04146527561005058
filling	0.056863201118471304
fingerfood	-0.002563671968217985
flaky	0.039981580442635875
french	-0.06281919868322147
frenchcuisine	-0.05609437560763239
frenchpastry	-0.0037707425844845446
fresh	-0.00017348466029536505
fried	-0.018264885992084055
friedfood	-0.03201987760458657
friedrice	0.007811404577857898
fries	0.0013819660903949026
frosting	-0.02024283586071958
fruit	-0.005430051923934212
fudgy	0.02758423937439613
gamedayfood	0.01524640604512252
ganache	0.01212813253632277
garlic	0.005347141641853522
ginger	0.008992168668196387
glutenfree	0.03423412200132623
goldenbrown	0.03496757016872946
greenbeans	0.004886224365829294
greenonion	-0.003645027026342865
greenonions	-0.11856860715920789
grill	0.022073682115216795
grilled	0.020341859635341655
grilling	0.029943100142368704
groundbeef	0.04486211386132966
gruyere	0.0044768822548113835
gruyerecheese	-0.019807376807438055
guacamole	-0.042111977943559
hamandcheese	0.01801062136195463
hamburger	-0.001843979785779589
handheld	0.04905179654061341
handtorndough	-0.001317435098250015
hawaii	-0.001843979785779589
hawaiian	0.0010841175636471482
healthy	-0.07773875322181335
herbs	0.023132330387708976
holiday	0.00958615874210714
homemade	0.031546837890466785
indulgent	-0.062367460849557785
italian	-0.07734626689218609
italiancuisine	0.023080238545089917
jalapenos	0.0013819660903949026
japanesecuisine	-0.0001894778695048678
juicy	0.03628522691442681
ketchup	-0.001843979785779589
keto	0.027880070392729432
kidfriendly	-0.002563671968217985
koreancuisine	-0.001317435098250015
laminateddough	0.025731015745045275
lasagna	-0.014245368902365857
lattice	-0.004589962640710083
lettuce	0.02337995158862855
lime	-0.012371976729700978
loadednachos	0.013864439954727617
lowcarb	0.027880070392729432
lunch	0.03025913594626468
macandcheese	0.035435233324698126
maple	0.04149119442153322
maplesyrup	0.05061042551264036
masa	-0.005188728461172421
mayonnaise	-0.001843979785779589
meal	-0.01385723423808648
mealprep	0.056220346406546835
meat	0.013873572071397736
meatsauce	0.00689750408053636
mexican	0.014733572944855042
mexicancuisine	-0.022847487958160467
mexicanfood	0.013864439954727617
middleeastern	-0.010481172797135138
miso	-0.01958446328985986
muffins	0.056220346406546835
mushroom	-0.059249505765917664
mushrooms	-0.01958446328985986
nachos	0.0028106877779119823
noodles	0.05212807308625027
noodlesoup	-0.01958446328985986
nori	0.0010841175636471482
numbing	0.017659221768758233
nutmeg	-0.0037754381515693342
oat	-0.007377788391671994
oats	0.0020555880959658357
onion	-0.018313314924872925
onions	-0.02232330554361455
onthego	0.0010841175636471482
oven	-0.015088507967883911
oysters	-0.01940705758772107
pacificislands	-0.001843979785779589
pancakes	0.05061042551264036
parmesan	0.0044768822548113835
partyfood	0.03169976379728709
pasta	-0.025728299102934393
pastasauce	0.00689750408053636
pastry	0.009033146784881457
pastrycrust	-0.04225510817584484
peach	0.029858083509164007
peanutbutter	-0.04162606400567595
peanutdressing	-0.014024055663127677
peanuts	-3.739455183277758e-05
peppers	-0.031991264402216
pickledvegetables	0.003849039038135624
pie	-0.0017401688425165208
piecrust	0.04146527561005058
pork	-3.739455183277758e-05
porkbelly	-0.01958446328985986
potatoes	-0.09898414386934803
protein	0.056220346406546835
puffpastry	-0.015088507967883911
quiche	0.028401033695504115
quick	0.04153607444151834
ramen	-0.01958446328985986
refreshing	-0.006136724784846907
relish	-0.012909029223616059
rhubarb	-0.006136724784846907
rice	0.0010841175636471482
ricevinegar	-0.003645027026342865
rich	0.03534965391239643
ricotta	0.04437162968686867
salad	0.002940024828284704
salsa	-0.029235433837951526
salty	0.035435233324698126
sandwich	0.04047262268927306
sauce	0.02768391642689562
savory	-0.03955589186703669
scallions	0.00895477411636361
scallops	0.022185839421121244
seafood	0.031404446877518866
sesame	0.03178736036635857
sesameoil	-0.003645027026342865
sesameseeds	-0.003645027026342865
shrimp	0.029943100142368704
sichuancuisine	0.017621827216925456
sichuanpeppercorns	0.00895477411636361
sidedish	0.041617772268315326
sidedishes	0.004886224365829294
skewers	0.029943100142368704
smoky	0.07953186481698282
snack	-0.04408014719921259
snacks	0.006268190456224196
sobanoodles	0.014377630069375464
soft	0.03496757016872946
souffle	0.0695900116351725
soup	0.019060672173474465
sourcream	-0.02970726955692367
southern	-0.0016887543813027788
southerncuisine	-0.01940705758772107
soysauce	-0.006463311621981219
spam	-0.0007598622221324407
spices	0.023132330387708976
spicy	0.023831675239397488
spicyfood	-0.0126128200168655
spinach	0.06347782854068384
spring	0.04008044616891848
steamed	-0.005188728461172421
stirfry	0.008667053100561845
strawberry	-0.006136724784846907
streetfood	-0.016422510992307085
stuffedpeppers	-0.0126128200168655
summer	-0.10436041689185728
sushi	0.0010841175636471482
sweet	-0.06543560678807511
sweetandsalty	0.07148680107427426
sweetandsavory	0.09210161993417358
sweettreat	-0.02950175832952982
taco	0.009091587454363295
tacos	-0.005941338195171948
tangy	0.008638162418432654
tart	0.02768391642689562
tea	-0.014413250361645908
tempura	-0.000983121851369486
tender	0.021110335930642977
texmex	-0.031991264402216
thanksgiving	0.01477488720327956
toast	0.04047262268927306
tomato	0.03031807313706742
tomatoes	0.01470101955546442
tomatosauce	0.04128606439710782
tortilla	0.009667958858601453
tortillabowl	0.009091587454363295
tortillachips	0.007872493037049086
tortillas	-0.13097540827156404
traditional	-0.005188728461172421
twisted	0.007765414538000302
udonnoodles	-0.000983121851369486
vanilla	-0.0016097156920323044
vanillaicecream	0.0020555880959658357
vegan	0.04084166678498005
vegetables	0.04657441564852636
vegetarian	-0.04321488846170425
warm	-0.015088507967883911
whippedcream	0.0020555880959658357
winter	0.0037078282365802413
yeastdough	0.007765414538000302
